line_number,key,task,representation,kg,graph_id,prompt_type,temperature,temperature_label,cq_index,cq_complexity,endpoint,competency_question,sparql_query,syntax_ok,syntax_message,satisfiable,satisfiable_message,deterministic,deterministic_message,all_checks_passed,rows,variables,result_message,_line_number
125,sparql-nen-kwg_lite-cot-temp0.0-What are all the available health-related concerns or attributes of all geographical places?,sparql,nen,kwg_lite,kwg_lite,cot,0.0,temp0.0,3,simple,<FUSEKI_SERVER>/kwg_lite/sparql,What are all the available health-related concerns or attributes of all geographical places?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>

SELECT DISTINCT
  ?attribute
  ?attributeLabel
  ?range
  ?parentAttribute
  ?parentLabel
WHERE {
  ?attribute rdf:type owl:DatatypeProperty .
  ?attribute rdfs:domain kwgl-ont:Place .

  OPTIONAL { ?attribute rdfs:range ?range . }
  OPTIONAL { ?attribute rdfs:label ?attributeLabel . }
  OPTIONAL {
    ?attribute rdfs:subPropertyOf ?parentAttribute .
    OPTIONAL { ?parentAttribute rdfs:label ?parentLabel . }
  }

  FILTER (
    CONTAINS(LCASE(STR(?attribute)), ""diabetic"") ||
    CONTAINS(LCASE(STR(?attributeLabel)), ""diabetic"") ||
    CONTAINS(LCASE(STR(?attribute)), ""obese"") ||
    CONTAINS(LCASE(STR(?attributeLabel)), ""obese"") ||
    CONTAINS(LCASE(STR(?attribute)), ""poverty"") ||
    CONTAINS(LCASE(STR(?attributeLabel)), ""poverty"")
  )
}
ORDER BY ?attribute",True,OK,True,OK,True,OK,True,3,"[""attribute"", ""attributeLabel"", ""range"", ""parentAttribute"", ""parentLabel""]",OK,125
126,sparql-ttl-kwg_lite-0_shot-temp1.0-What are all the available climate-specific attributes related to all geographical places?,sparql,ttl,kwg_lite,kwg_lite,0_shot,1.0,temp1.0,9,moderate,<FUSEKI_SERVER>/kwg_lite/sparql,What are all the available climate-specific attributes related to all geographical places?,"PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?place ?climate_attribute ?value
WHERE {
  ?place a kwgl-ont:Place .
  VALUES ?base_attribute {
    kwgl-ont:averageCoolingDegreeDaysPerMonth
    kwgl-ont:averageHeatingDegreeDaysPerMonth
    kwgl-ont:averageMonthlyTemperatureInCelsius
    kwgl-ont:maximumMonthlyTemperatureInCelsius
    kwgl-ont:minimumMonthlyTemperatureInCelsius
  }
  ?climate_attribute rdfs:subPropertyOf* ?base_attribute .
  ?place ?climate_attribute ?value .
}",True,OK,True,OK,True,OK,True,650,"[""place"", ""climate_attribute"", ""value""]",OK,126
127,sparql-axiom-core_scholar_shallow-cot-temp1.0-What publications involve people from more than one department?,sparql,axiom,core_scholar_shallow,core_scholar_shallow,cot,1.0,temp1.0,12,complex,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What publications involve people from more than one department?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
SELECT ?publication
WHERE {
  ?publication a coress-ont:Publication .
  ?publication coress-ont:submittedBy ?author .
  ?author coress-ont:isPerformedBy ?agent .
  ?agent coress-ont:worksInDepartment ?department .
}
GROUP BY ?publication
HAVING (COUNT(DISTINCT ?department) > 1)",True,OK,False,OK,True,OK,False,0,"[""publication""]",OK,127
128,sparql-ttl-kwg-0_shot-temp0.0-What are all the available storm-specific hazard attributes and their details related to all geographical places?,sparql,ttl,kwg,kwg,0_shot,0.0,temp0.0,7,moderate,<FUSEKI_SERVER>/kwg/sparql,What are all the available storm-specific hazard attributes and their details related to all geographical places?,"PREFIX kwg-ont: <http://stko-kwg.geog.ucsb.edu/lod/ontology/>
PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX gnis: <http://gnis-ld.org/lod/gnis/ontology/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?hazard ?hazardTypeLabel ?placeName ?attributeLabel ?value WHERE {
    
    ?obsCollection sosa:hasMember ?observation .
    ?observation sosa:observedProperty ?attribute ;
                 sosa:hasSimpleResult ?value .
    ?attribute rdfs:label ?attributeLabel .

    ?obsCollection sosa:hasFeatureOfInterest ?hazard .

    {
        ?hazard a kwg-ont:StormTracklet .
        ?obsCollection a kwg-ont:StormTrackletObservationCollection .
        ?hazard a ?hazardType.
        ?hazardType rdfs:label ?hazardTypeLabel.
    }
    UNION
    {
        VALUES ?hazardType {
            kwg-ont:NOAATornado kwg-ont:NOAAHurricane kwg-ont:NOAAWinterStorm
            kwg-ont:NOAABlizzard kwg-ont:NOAAIceStorm kwg-ont:NOAATropicalStorm
            kwg-ont:NOAAThunderstormWind
        }
        ?hazard a ?hazardType .
        ?hazardType rdfs:label ?hazardTypeLabel .
        
        ?obsCollection a ?obsType .
        FILTER(?obsType IN (kwg-ont:MagnitudeObservationCollection, kwg-ont:ImpactObservationCollection))
    }
    
    OPTIONAL {
        ?hazard kwg-ont:spatialRelation ?place .
        ?place a kwg-ont:AdministrativeRegion ;
               gnis:officialName ?placeName .
    }
}",True,OK,False,OK,True,OK,False,0,"[""hazard"", ""hazardTypeLabel"", ""placeName"", ""attributeLabel"", ""value""]",OK,128
129,sparql-axiom-kwg-0_shot-temp0.0-What are all the available tornado-specific hazard attributes related to all geographical places and how many are there?,sparql,axiom,kwg,kwg,0_shot,0.0,temp0.0,6,moderate,<FUSEKI_SERVER>/kwg/sparql,What are all the available tornado-specific hazard attributes related to all geographical places and how many are there?,"PREFIX kwg-ont: <http://stko-kwg.geog.ucsb.edu/lod/ontology/>
PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?hazardAttribute (COUNT(DISTINCT ?hazardAttribute) AS ?count)
WHERE {
  {
    SELECT DISTINCT ?hazardAttribute
    WHERE {
      {
        ?collection a kwg-ont:TornadoMagnitudeObservationCollection .
        ?collection sosa:hasMember ?observation .
        ?observation sosa:observedProperty ?hazardAttribute .
      }
      UNION
      {
        ?collection a kwg-ont:ImpactObservationCollection .
        ?collection sosa:hasFeatureOfInterest ?tornado .
        ?tornado a kwg-ont:NOAATornado .
        ?collection sosa:hasMember ?observation .
        ?observation sosa:observedProperty ?hazardAttribute .
      }
    }
  }
}
GROUP BY ?hazardAttribute",True,OK,False,OK,True,OK,False,0,"[""hazardAttribute"", ""count""]",OK,129
130,sparql-ttl-kwg_lite-cot-temp1.0-What are all the damage details available done by tornado-specific hazards that are related to a geographical place within a certain temporal extent?,sparql,ttl,kwg_lite,kwg_lite,cot,1.0,temp1.0,14,complex,<FUSEKI_SERVER>/kwg_lite/sparql,What are all the damage details available done by tornado-specific hazards that are related to a geographical place within a certain temporal extent?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT DISTINCT
  ?tornadoEvent
  ?place
  ?placeName
  ?startDate
  ?endDate
  ?cropDamage
  ?infraDamage
  ?deaths
  ?affectedArea
WHERE {
  ?tornadoEvent a kwgl-ont:Tornado .
  ?tornadoEvent kwgl-ont:hasImpacted ?place .
  ?place kwgl-ont:hasName ?placeName .
  
  ?tornadoEvent kwgl-ont:hasStartDate ?startDate .
  ?tornadoEvent kwgl-ont:hasEndDate ?endDate .

  OPTIONAL {
    ?tornadoEvent kwgl-ont:damageToCropsInDollars ?cropDamage .
  }
  OPTIONAL {
    ?tornadoEvent kwgl-ont:damageToInfrastructureInDollars ?infraDamage .
  }
  OPTIONAL {
    ?tornadoEvent kwgl-ont:numberOfDeaths ?deaths .
  }
  OPTIONAL {
    ?tornadoEvent kwgl-ont:affectedAreaInAcres ?affectedArea .
  }

  FILTER (?startDate <= ""2021-12-31""^^xsd:date && ?endDate >= ""2021-01-01""^^xsd:date)
}
ORDER BY ?placeName ?startDate",True,OK,False,OK,True,OK,False,0,"[""tornadoEvent"", ""place"", ""placeName"", ""startDate"", ""endDate"", ""cropDamage"", ""infraDamage"", ""deaths"", ""affectedArea""]",OK,130
131,sparql-nen-kwg_lite-0_shot-temp0.0-What are all the available storm-specific hazard attributes and their details related to all geographical places?,sparql,nen,kwg_lite,kwg_lite,0_shot,0.0,temp0.0,7,moderate,<FUSEKI_SERVER>/kwg_lite/sparql,What are all the available storm-specific hazard attributes and their details related to all geographical places?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>
PREFIX kwglr: <http://stko-kwg.geog.ucsb.edu/lod/lite-resource/>

SELECT ?placeName ?stormEvent ?stormEventName ?hazardType ?affectedArea ?cropDamage ?infraDamage ?startDate ?endDate ?deaths
WHERE {
  ?place a kwgl-ont:Place;
         kwgl-ont:hasName ?placeName.
  ?stormEvent kwgl-ont:hasImpacted ?place;
              kwgl-ont:hasHazardType ?hazardType.
  VALUES ?hazardType {
    kwglr:blizzard
    kwglr:dustStorm
    kwglr:iceStorm
    kwglr:marineHighWind
    kwglr:marineStrongWind
    kwglr:marineThunderstormWind
    kwglr:marineTropicalDepression
    kwglr:marineTropicalStorm
    kwglr:stormSurgeTide
    kwglr:strongWind
    kwglr:thunderstormWind
    kwglr:tornado
    kwglr:tropicalDepression
    kwglr:tropicalStorm
    kwglr:winterStorm
    kwglr:hurricane
  }
  OPTIONAL { ?stormEvent kwgl-ont:hasName ?stormEventName . }
  OPTIONAL { ?stormEvent kwgl-ont:affectedAreaInAcres ?affectedArea . }
  OPTIONAL { ?stormEvent kwgl-ont:damageToCropsInDollars ?cropDamage . }
  OPTIONAL { ?stormEvent kwgl-ont:damageToInfrastructureInDollars ?infraDamage . }
  OPTIONAL { ?stormEvent kwgl-ont:hasStartDate ?startDate . }
  OPTIONAL { ?stormEvent kwgl-ont:hasEndDate ?endDate . }
  OPTIONAL { ?stormEvent kwgl-ont:numberOfDeaths ?deaths . }
}",True,OK,False,OK,True,OK,False,0,"[""placeName"", ""stormEvent"", ""stormEventName"", ""hazardType"", ""affectedArea"", ""cropDamage"", ""infraDamage"", ""startDate"", ""endDate"", ""deaths""]",OK,131
132,sparql-axiom-core_scholar_shallow-cot-temp0.0-What are all available departments?,sparql,axiom,core_scholar_shallow,core_scholar_shallow,cot,0.0,temp0.0,3,simple,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What are all available departments?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
SELECT ?department
WHERE {
  ?department a coress-ont:Department .
}",True,OK,True,OK,True,OK,True,10,"[""department""]",OK,132
133,sparql-axiom-core_scholar_shallow-cot-temp0.0-What publications are associated with each field of study?,sparql,axiom,core_scholar_shallow,core_scholar_shallow,cot,0.0,temp0.0,9,moderate,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What publications are associated with each field of study?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
SELECT ?fieldOfStudy ?publication
WHERE {
  ?publication coress-ont:associatedFieldOfStudy ?fieldOfStudy .
}",True,OK,True,OK,True,OK,True,20,"[""fieldOfStudy"", ""publication""]",OK,133
134,sparql-ttl-core_scholar_rich-cot-temp0.0-What publication types have the longest average time between submission and publication?,sparql,ttl,core_scholar_rich,core_scholar_rich,cot,0.0,temp0.0,13,complex,<FUSEKI_SERVER>/core_scholar_rich/sparql,What publication types have the longest average time between submission and publication?,"PREFIX coresr-ont: <http://example.org/core_scholar_rich/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT ?typeName (AVG(?durationInDays) AS ?avgDurationInDays)
WHERE {
    ?publication a coresr-ont:Publication ;
                 coresr-ont:dateOfSubmission ?submissionDate ;
                 coresr-ont:dateOfPublication ?publicationDate ;
                 coresr-ont:hasPublicationType ?pubType .
    ?pubType coresr-ont:typeAsString ?typeName .

    BIND((?publicationDate - ?submissionDate) / xsd:dayTimeDuration(""P1D"") AS ?durationInDays)
    FILTER(?durationInDays >= 0)
}
GROUP BY ?typeName
ORDER BY DESC(?avgDurationInDays)",True,OK,True,OK,True,OK,True,20,"[""typeName"", ""avgDurationInDays""]",OK,134
135,sparql-nen-core_scholar_rich-cot-temp1.0-Which departments have the highest number of agents missing family name information?,sparql,nen,core_scholar_rich,core_scholar_rich,cot,1.0,temp1.0,15,complex,<FUSEKI_SERVER>/core_scholar_rich/sparql,Which departments have the highest number of agents missing family name information?,"PREFIX coresr-ont: <http://example.org/core_scholar_rich/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?department ?missingCount
WHERE {
  {
    SELECT ?department (COUNT(?agent) AS ?missingCount)
    WHERE {
      ?agent a coresr-ont:Agent ;
             coresr-ont:associatedWith ?department .
      FILTER NOT EXISTS {
        ?agent coresr-ont:hasContactInformation ?contactInfo .
        ?contactInfo a coresr-ont:FamilyName .
      }
    }
    GROUP BY ?department
  }
  {
    SELECT (MAX(?c) as ?maxCount)
    WHERE {
      SELECT (COUNT(?agent) as ?c)
      WHERE {
        ?agent a coresr-ont:Agent ;
               coresr-ont:associatedWith ?someDepartment .
        FILTER NOT EXISTS {
          ?agent coresr-ont:hasContactInformation ?contactInfo .
          ?contactInfo a coresr-ont:FamilyName .
        }
      }
      GROUP BY ?someDepartment
    }
  }
  FILTER(?missingCount = ?maxCount)
}",True,OK,True,OK,True,OK,True,10,"[""department"", ""missingCount""]",OK,135
136,sparql-nen-kwg-0_shot-temp0.0-What are all the available health-related concerns or attributes of all geographical places?,sparql,nen,kwg,kwg,0_shot,0.0,temp0.0,3,simple,<FUSEKI_SERVER>/kwg/sparql,What are all the available health-related concerns or attributes of all geographical places?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX kwg-ont: <http://stko-kwg.geog.ucsb.edu/lod/ontology/>
PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX geo: <http://www.opengis.net/ont/geosparql#>
PREFIX kwgr: <http://stko-kwg.geog.ucsb.edu/lod/resource/>

SELECT DISTINCT ?place ?healthConcern WHERE {
  {
    # Health concerns modeled as observed properties (Public Health, Vulnerability, Impacts)
    ?obs sosa:hasFeatureOfInterest ?place ;
         sosa:observedProperty ?healthConcern .
    ?place a geo:Feature .
    {
      VALUES ?healthPropertyType {
          kwg-ont:PublicHealthObservableProperty
          kwg-ont:VulnerabilityObservableProperty
      }
      ?healthConcern rdfs:subClassOf* ?healthPropertyType .
    }
    UNION
    {
      VALUES ?healthConcern {
          kwgr:impactObservableProperty.deathDirect
          kwgr:impactObservableProperty.deathIndirect
          kwgr:impactObservableProperty.injuryDirect
          kwgr:impactObservableProperty.injuryIndirect
      }
    }
  }
  UNION
  {
    # Air Quality pollutants at measurement sites
    ?place a kwg-ont:AirQualitySite .
    ?collection sosa:madeBySensor/^sosa:hosts ?place .
    ?collection sosa:observedProperty ?healthConcern .
    ?healthConcern rdfs:subClassOf* kwg-ont:AirPollutant .
  }
  UNION
  {
    # Health-related attributes of Hospitals
    ?place a kwg-ont:Hospital .
    VALUES ?healthConcern {
        kwg-ont:hospitalType
        kwg-ont:noHospitalBeds
        kwg-ont:traumaCareLevel
        kwg-ont:hospitalStatus
        kwg-ont:helipadAvailability
    }
    ?place ?healthConcern [] .
  }
}",True,OK,True,OK,True,OK,True,50,"[""place"", ""healthConcern""]",OK,136
137,sparql-axiom-core_scholar_shallow-cot-temp0.0-What are all available publications and their DOI values?,sparql,axiom,core_scholar_shallow,core_scholar_shallow,cot,0.0,temp0.0,2,simple,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What are all available publications and their DOI values?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
SELECT ?publication ?doi
WHERE {
  ?publication a coress-ont:Publication .
  ?publication coress-ont:hasDOI ?doi .
}",True,OK,True,OK,True,OK,True,20,"[""publication"", ""doi""]",OK,137
138,sparql-nen-core_scholar_shallow-cot-temp1.0-What colleges are associated with universities in each city?,sparql,nen,core_scholar_shallow,core_scholar_shallow,cot,1.0,temp1.0,10,moderate,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What colleges are associated with universities in each city?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>

SELECT ?city ?university ?college
WHERE {
  ?university coress-ont:atCity ?city .
  ?college coress-ont:collegeOf ?university .
}
ORDER BY ?city",True,OK,True,OK,True,OK,True,40,"[""city"", ""university"", ""college""]",OK,138
139,sparql-ttl-core_scholar_rich-cot-temp1.0-What colleges are associated with universities in each city?,sparql,ttl,core_scholar_rich,core_scholar_rich,cot,1.0,temp1.0,10,moderate,<FUSEKI_SERVER>/core_scholar_rich/sparql,What colleges are associated with universities in each city?,"PREFIX coresr-ont: <http://example.org/core_scholar_rich/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?city ?university ?college
WHERE {
  ?city rdf:type coresr-ont:City .
  ?city coresr-ont:hasState ?state .
  ?state coresr-ont:isStateOf ?location .
  ?location coresr-ont:isLocationOf ?university .
  ?university rdf:type coresr-ont:University .
  ?university coresr-ont:hasPart ?college .
  ?college rdf:type coresr-ont:College .
}",True,OK,True,OK,True,OK,True,10,"[""city"", ""university"", ""college""]",OK,139
140,"sparql-ttl-kwg_lite-cot-temp1.0-What are any and all available hazards, their details, and when did they happen?",sparql,ttl,kwg_lite,kwg_lite,cot,1.0,temp1.0,1,simple,<FUSEKI_SERVER>/kwg_lite/sparql,"What are any and all available hazards, their details, and when did they happen?","PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX kwgl-ont: <http://stko-kwg.geog.ucsb.edu/lod/lite-ontology/>

SELECT DISTINCT
  ?hazard
  ?hazardName
  ?hazardTypeLabel
  ?startDate
  ?endDate
  ?affectedArea
  ?deaths
  ?cropDamage
  ?infraDamage
WHERE {
  ?hazard rdf:type kwgl-ont:HazardEvent .
  OPTIONAL { ?hazard kwgl-ont:hasName ?hazardName . }
  OPTIONAL { ?hazard kwgl-ont:hasStartDate ?startDate . }
  OPTIONAL { ?hazard kwgl-ont:hasEndDate ?endDate . }
  OPTIONAL {
    ?hazard kwgl-ont:hasHazardType ?hazardType .
    ?hazardType rdfs:label ?hazardTypeLabel .
  }
  OPTIONAL { ?hazard kwgl-ont:affectedAreaInAcres ?affectedArea . }
  OPTIONAL { ?hazard kwgl-ont:numberOfDeaths ?deaths . }
  OPTIONAL { ?hazard kwgl-ont:damageToCropsInDollars ?cropDamage . }
  OPTIONAL { ?hazard kwgl-ont:damageToInfrastructureInDollars ?infraDamage . }
}
ORDER BY ?hazard",True,OK,True,OK,True,OK,True,10,"[""hazard"", ""hazardName"", ""hazardTypeLabel"", ""startDate"", ""endDate"", ""affectedArea"", ""deaths"", ""cropDamage"", ""infraDamage""]",OK,140
141,sparql-ttl-kwg-cot-temp1.0-What are all the available earthquake hazards and how many are there?,sparql,ttl,kwg,kwg,cot,1.0,temp1.0,5,simple,<FUSEKI_SERVER>/kwg/sparql,What are all the available earthquake hazards and how many are there?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX kwg-ont: <http://stko-kwg.geog.ucsb.edu/lod/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?earthquakeHazardType (COUNT(DISTINCT ?earthquakeInstance) AS ?numberOfInstances)
WHERE {
  ?earthquakeHazardType rdfs:subClassOf* kwg-ont:Earthquake .
  ?earthquakeInstance rdf:type ?earthquakeHazardType .
}
GROUP BY ?earthquakeHazardType",True,OK,True,OK,True,OK,True,1,"[""earthquakeHazardType"", ""numberOfInstances""]",OK,141
142,sparql-axiom-kwg-0_shot-temp1.0-What are all the damage details available done by storm-specific hazards that are related to a geographical place within a certain temporal extent?,sparql,axiom,kwg,kwg,0_shot,1.0,temp1.0,15,complex,<FUSEKI_SERVER>/kwg/sparql,What are all the damage details available done by storm-specific hazards that are related to a geographical place within a certain temporal extent?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX kwg-ont: <http://stko-kwg.geog.ucsb.edu/lod/ontology/>
PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX time: <http://www.w3.org/2006/time#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX kwgr: <http://stko-kwg.geog.ucsb.edu/lod/resource/>

SELECT DISTINCT ?hazard ?damageProperty ?damageValue ?place ?eventStartTime ?eventEndTime
WHERE {
  VALUES ?stormType {
    kwg-ont:NOAAStormSurgeTide
    kwg-ont:NOAAThunderstormWind
    kwg-ont:NOAATornado
    kwg-ont:NOAATropicalStorm
    kwg-ont:NOAAWinterStorm
    kwg-ont:NOAAMarineThunderstormWind
    kwg-ont:NOAAMarineTropicalStorm
  }
  ?hazard a ?stormType .
  ?hazard kwg-ont:spatialRelation ?place .
  ?place a kwg-ont:AdministrativeRegion .

  ?impactCollection sosa:hasFeatureOfInterest ?hazard ;
                    sosa:hasMember ?impactObs ;
                    sosa:phenomenonTime ?temporalEntity .

  ?impactObs sosa:observedProperty ?damageProperty ;
             sosa:hasSimpleResult ?damageValue .
  ?damageProperty a kwg-ont:ImpactObservableProperty .

  BIND(""2020-01-01T00:00:00Z""^^xsd:dateTime AS ?queryStartTime)
  BIND(""2020-12-31T23:59:59Z""^^xsd:dateTime AS ?queryEndTime)

  OPTIONAL {
    ?temporalEntity a time:Interval .
    ?temporalEntity time:hasBeginning/time:inXSDDateTime ?startTime .
    ?temporalEntity time:hasEnd/time:inXSDDateTime ?endTime .
  }
  OPTIONAL {
    ?temporalEntity a time:Instant .
    ?temporalEntity time:inXSDDateTime ?instantTime .
  }

  BIND(IF(BOUND(?instantTime), ?instantTime, ?startTime) AS ?eventStartTime)
  BIND(IF(BOUND(?instantTime), ?instantTime, ?endTime) AS ?eventEndTime)

  FILTER(?eventStartTime <= ?queryEndTime && ?eventEndTime >= ?queryStartTime)
}",True,OK,False,OK,True,OK,False,0,"[""hazard"", ""damageProperty"", ""damageValue"", ""place"", ""eventStartTime"", ""eventEndTime""]",OK,142
143,"sparql-axiom-kwg-cot-temp1.0-What are any and all available hazards, their details, and when did they happen?",sparql,axiom,kwg,kwg,cot,1.0,temp1.0,1,simple,<FUSEKI_SERVER>/kwg/sparql,"What are any and all available hazards, their details, and when did they happen?","PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX kwg-ont: <http://stko-kwg.geog.ucsb.edu/lod/ontology/>
PREFIX time: <http://www.w3.org/2006/time#>

SELECT DISTINCT ?hazard ?property ?value ?dateTime
WHERE {
  ?hazard a ?type .
  ?type rdfs:subClassOf* kwg-ont:Hazard .
  ?hazard ?property ?value .
  OPTIONAL {
    ?hazard kwg-ont:hasTemporalScope ?temporalEntity .
    ?temporalEntity time:inXSDDateTime ?dateTime .
  }
}
ORDER BY ?hazard ?property",True,OK,True,OK,True,OK,True,1720,"[""hazard"", ""property"", ""value"", ""dateTime""]",OK,143
144,sparql-axiom-core_scholar_rich-0_shot-temp1.0-What are all available publications and their submission dates?,sparql,axiom,core_scholar_rich,core_scholar_rich,0_shot,1.0,temp1.0,4,simple,<FUSEKI_SERVER>/core_scholar_rich/sparql,What are all available publications and their submission dates?,"PREFIX coresr-ont: <http://example.org/core_scholar_rich/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?publication ?submissionDate
WHERE {
  ?publication a coresr-ont:Publication ;
               coresr-ont:dateOfSubmission ?submissionDate .
}",True,OK,True,OK,True,OK,True,20,"[""publication"", ""submissionDate""]",OK,144
145,sparql-axiom-core_scholar_shallow-cot-temp0.0-What are all available publications and their submission dates?,sparql,axiom,core_scholar_shallow,core_scholar_shallow,cot,0.0,temp0.0,4,simple,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What are all available publications and their submission dates?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
SELECT ?publication ?submissionDate
WHERE {
  ?publication a coress-ont:Publication .
  ?publication coress-ont:dateOfSubmission ?submissionDate .
}",True,OK,True,OK,True,OK,True,20,"[""publication"", ""submissionDate""]",OK,145
146,"sparql-axiom-kwg-0_shot-temp0.0-What are all the available earthquake hazards, their details, and their types?",sparql,axiom,kwg,kwg,0_shot,0.0,temp0.0,10,moderate,<FUSEKI_SERVER>/kwg/sparql,"What are all the available earthquake hazards, their details, and their types?","PREFIX kwg-ont: <http://stko-kwg.geog.ucsb.edu/lod/ontology/>
PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?earthquake_hazard ?detail_property ?detail_value
WHERE {
  ?earthquake_hazard a kwg-ont:Earthquake .
  ?observation sosa:hasFeatureOfInterest ?earthquake_hazard ;
               sosa:observedProperty ?detail_property ;
               sosa:hasSimpleResult ?detail_value .
}",True,OK,False,OK,True,OK,False,0,"[""earthquake_hazard"", ""detail_property"", ""detail_value""]",OK,146
147,sparql-ttl-core_scholar_rich-0_shot-temp1.0-What colleges are associated with universities in each city?,sparql,ttl,core_scholar_rich,core_scholar_rich,0_shot,1.0,temp1.0,10,moderate,<FUSEKI_SERVER>/core_scholar_rich/sparql,What colleges are associated with universities in each city?,"PREFIX coresr-ont: <http://example.org/core_scholar_rich/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?city ?university ?college
WHERE {
  ?university a coresr-ont:University ;
              coresr-ont:hasPart ?college .
  ?college a coresr-ont:College .
  ?university coresr-ont:locatedAt ?location .
  ?location coresr-ont:atState ?state .
  ?state coresr-ont:inCity ?city .
  ?city a coresr-ont:City .
}",True,OK,True,OK,True,OK,True,10,"[""city"", ""university"", ""college""]",OK,147
148,sparql-ttl-core_scholar_shallow-cot-temp1.0-What colleges are associated with universities in each city?,sparql,ttl,core_scholar_shallow,core_scholar_shallow,cot,1.0,temp1.0,10,moderate,<FUSEKI_SERVER>/core_scholar_shallow/sparql,What colleges are associated with universities in each city?,"PREFIX coress-ont: <http://example.org/core_scholar_shallow/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?city ?university ?college
WHERE {
  ?university rdf:type coress-ont:University .
  ?university coress-ont:atCity ?city .
  ?university coress-ont:hasCollege ?college .
}",True,OK,True,OK,True,OK,True,20,"[""city"", ""university"", ""college""]",OK,148
149,sparql-nen-core_scholar_rich-cot-temp0.0-What are all available publications and their DOI values?,sparql,nen,core_scholar_rich,core_scholar_rich,cot,0.0,temp0.0,2,simple,<FUSEKI_SERVER>/core_scholar_rich/sparql,What are all available publications and their DOI values?,"PREFIX coresr-ont: <http://example.org/core_scholar_rich/>
SELECT ?publication ?doiValue
WHERE {
  ?publication coresr-ont:hasIdentifier ?doi .
  ?doi coresr-ont:doiAsString ?doiValue .
}",True,OK,True,OK,True,OK,True,40,"[""publication"", ""doiValue""]",OK,149
